Name,Textbox3
"Gateway NRA
Recreation Visits",Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Visitation%20by%20Month

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2016,"216,795","263,344","360,096","416,937","653,215","1,034,638","1,221,630","1,288,281","1,023,879","826,752","736,355","609,848"
2015,"202,285","241,032","332,770","410,345","587,694","712,586","1,022,432","963,667","661,569","483,670","451,044","323,471"
2014,"199,792","240,406","330,667","389,603","573,842","683,544","963,230","920,347","601,825","402,959","417,315","298,183"
2013,"185,380","210,046","285,452","347,892","608,477","840,983","1,069,774","962,343","697,389","373,604","498,396","111,510"
2012,"235,880","265,980","325,943","381,855","530,592","736,073","886,996","921,389","734,133","7,178","8,924","8,920"
2011,"258,208","332,116","347,150","476,080","837,580","852,545","1,233,876","1,045,901","835,104","604,507","552,875","321,785"
2010,"337,552","291,909","425,290","637,108","832,565","1,104,871","1,386,200","1,228,923","910,201","605,939","665,489","394,710"
2009,"377,303","389,393","571,795","769,238","889,894","1,087,752","1,230,537","1,238,325","938,923","623,742","574,860","318,760"
2008,"285,452","249,394","402,058","651,513","1,060,416","1,291,909","1,375,748","1,258,845","960,993","753,367","718,643","422,683"
2007,"277,405","250,773","395,610","619,781","991,459","1,114,623","1,362,498","1,119,948","965,250","686,338","653,812","375,707"
2006,"285,210","246,481","424,967","645,730","890,161","1,045,967","1,305,076","1,191,827","864,440","681,487","532,433","342,677"
2005,"277,802","241,353","411,314","610,309","726,811","1,122,223","1,276,408","1,248,466","836,597","644,188","520,564","378,318"
2004,"225,251","314,872","395,022","609,286","729,231","916,973","1,257,013","1,257,480","876,518","698,603","566,567","381,757"
2003,"224,226","218,302","417,510","569,906","716,540","1,058,043","1,587,577","1,326,765","1,014,751","611,774","525,371","297,004"
2002,"252,705","310,872","390,751","489,726","888,068","1,158,743","1,889,269","1,410,738","830,690","661,718","484,225","246,933"
2001,"263,994","256,294","462,087","577,356","955,860","1,104,712","1,463,134","1,142,867","724,706","541,926","493,558","298,565"
2000,"164,422","226,392","325,030","391,016","917,733","1,268,636","1,374,539","1,227,315","796,268","541,347","431,281","263,588"
1999,"169,576","181,412","245,312","261,739","532,438","930,596","1,307,706","1,260,249","719,732","454,910","432,381","317,556"
1998,"218,016","227,288","234,506","311,247","536,238","841,490","1,380,195","1,551,822","844,880","624,898","227,722","125,720"
1997,"134,850","149,977","172,547","298,539","501,483","798,111","1,165,746","1,357,476","923,822","594,933","384,893","325,568"
1996,"129,323","159,595","214,719","348,673","466,981","857,924","1,154,569","1,230,907","725,377","468,743","346,071","278,620"
1995,"117,607","145,770","176,675","330,399","508,160","1,132,348","1,174,385","1,261,020","414,710","422,586","234,526","146,068"
1994,"81,708","118,586","124,121","204,160","459,461","553,009","738,126","660,641","415,148","402,963","277,985","156,372"
1993,"176,241","165,061","185,544","295,166","666,870","922,059","1,316,683","859,207","654,757","357,756","165,901","133,208"
1992,"186,365","205,177","231,508","334,401","604,764","827,873","1,123,211","1,148,773","706,955","389,312","269,875","133,423"
1991,"179,145","170,976","248,705","320,268","654,863","1,129,250","1,188,148","1,137,187","718,263","422,177","278,874","196,065"
1990,"219,548","193,719","227,445","361,556","513,897","770,938","1,110,788","858,589","703,415","371,163","260,805","198,358"
1989,"187,393","214,752","268,207","390,605","590,653","883,480","1,139,496","1,167,822","865,835","472,983","350,071","216,884"
1988,"162,707","157,351","227,036","280,017","666,618","1,119,674","1,349,234","872,174","659,164","322,099","227,699","171,389"
1987,"159,332","211,170","273,700","349,773","817,615","1,453,123","2,481,957","2,204,971","656,779","363,975","195,873","185,450"
1986,"144,865","117,646","214,985","373,190","1,012,967","1,837,627","1,945,647","1,623,170","692,287","463,404","285,326","191,496"
1985,"81,202","134,718","167,378","265,388","694,466","1,305,815","2,638,562","1,811,036","727,213","418,443","220,395","176,118"
1984,"83,464","116,189","143,320","227,292","360,960","1,414,691","2,133,881","1,823,845","814,750","372,488","235,490","154,736"
1983,"171,857","225,217","105,917","218,812","470,952","1,654,639","3,150,909","2,271,879","1,442,758","311,553","189,330","133,687"
1982,"42,541","81,833","95,155","203,400","434,174","1,418,743","3,394,057","2,491,299","1,017,128","401,640","168,713","120,452"
1981,"47,521","89,241","83,780","176,970","460,593","1,202,178","3,493,360","2,279,171","1,012,583","341,652","117,115","72,315"
1980,"24,356","23,013","37,236","107,956","494,291","1,033,846","3,071,490","2,883,821","962,011","245,766","109,614","59,857"
1979,"56,483","67,254","167,349","210,143","285,049","624,628","3,912,215","2,009,575","784,333","472,342","122,988","60,769"

