Name,Textbox3
"Kobuk Valley NP
Recreation Visits",Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Visitation%20by%20Month

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2016,"1,400",800,900,900,900,"1,200","1,500","1,600","1,600","1,800","1,500","1,400"
2015,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0
2013,"2,900",900,925,900,950,800,900,800,"1,150","1,250","4,200","1,200"
2012,"1,050","1,000","1,400","1,600","1,600","2,300","3,000","3,700","4,400","3,800","3,200","2,500"
2011,253,455,650,699,728,"1,200","1,250","1,150","1,300","1,400","1,200","1,200"
2010,101,101,133,265,223,268,288,279,413,419,379,295
2009,84,48,58,85,85,323,277,290,112,212,128,177
2008,61,70,95,45,66,165,293,247,259,106,80,78
2007,21,20,46,53,63,81,144,141,67,100,78,33
2006,101,121,177,126,132,564,430,489,530,160,125,50
2005,94,110,274,268,220,538,820,719,780,968,141,105
2004,90,99,260,258,183,650,800,700,700,820,96,88
2003,80,100,200,300,435,650,719,749,500,100,82,91
2002,50,100,300,500,676,291,661,738,400,55,200,75
2001,50,100,300,500,703,382,591,724,712,55,55,45
2000,200,100,100,50,119,364,523,650,400,50,50,40
1999,50,100,300,300,510,"1,164","1,810","1,036",639,200,100,100
1998,50,100,300,300,400,500,"1,200","1,300","1,000",200,100,100
1997,95,140,185,320,370,380,450,496,210,40,47,48
1996,95,140,185,320,370,380,450,496,210,40,47,48
1995,95,140,185,320,370,380,450,496,210,40,47,48
1994,95,140,185,320,370,380,450,496,210,40,47,48
1993,90,150,248,320,370,380,450,496,210,40,36,26
1992,81,145,248,330,387,390,490,492,180,28,26,32
1991,105,155,217,300,341,360,480,520,221,31,37,28
1990,110,140,180,270,330,330,475,510,162,25,27,27
1989,85,90,180,240,250,300,335,265,155,25,20,25
1988,100,100,170,250,275,350,400,450,135,20,10,15
1987,0,0,0,0,0,10,80,80,40,10,0,10
1986,100,140,100,100,10,100,150,300,40,10,10,25
1985,50,50,115,100,50,75,300,300,200,10,30,25
1984,30,50,115,100,70,90,260,200,100,10,25,25
1983,45,45,115,195,125,300,650,650,140,20,30,50
1982,0,0,0,275,350,300,"1,200",650,800,60,40,100

