Name,Textbox3
"Mammoth Cave NP
Recreation Visits",Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Visitation%20by%20Month

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2016,"11,253","9,541","48,508","54,541","50,686","80,641","119,420","72,008","46,909","52,302","24,986","15,719"
2015,"10,855","7,256","35,734","54,063","53,402","77,976","101,179","104,592","42,206","44,724","19,240","15,668"
2014,"7,874","8,162","39,127","55,227","49,208","71,277","103,454","76,675","33,196","45,590","18,691","14,147"
2013,"7,795","8,393","44,118","48,492","48,245","78,842","104,055","71,310","34,847","15,222","20,067","13,155"
2012,"7,845","9,473","43,189","59,442","48,640","73,889","97,663","63,890","34,673","37,098","20,067","12,185"
2011,"6,889","7,301","35,195","54,848","42,377","66,664","105,659","61,642","33,530","38,185","18,470","12,559"
2010,"6,653","7,299","36,041","56,275","41,490","67,955","107,740","69,905","36,347","39,291","18,619","9,610"
2009,"7,775","7,017","33,248","51,754","45,077","70,509","108,505","72,432","35,527","37,200","22,726","12,086"
2008,"7,054","8,830","37,805","35,825","43,988","63,600","92,067","66,694","24,794","36,364","18,314","10,839"
2007,"8,468","7,241","35,698","49,478","44,526","66,555","106,132","62,598","35,703","39,479","19,583","11,844"
2006,"22,036","10,776","37,930","60,784","50,417","80,033","128,416","74,710","47,244","47,891","22,271","15,426"
2005,"83,583","76,496","117,729","160,263","191,388","220,291","288,849","241,040","159,409","143,111","102,913","92,934"
2004,"83,723","78,193","117,950","158,941","189,744","214,799","290,655","259,639","165,896","139,818","98,800","90,109"
2003,"82,516","72,841","116,210","159,171","188,335","217,213","288,435","261,275","157,770","127,128","103,854","94,389"
2002,"84,214","77,786","117,227","162,102","188,346","219,318","289,792","256,113","158,911","141,267","104,066","92,165"
2001,"84,248","76,457","116,177","156,347","188,844","218,974","290,654","255,026","151,840","142,693","105,273","97,047"
2000,"79,362","80,806","122,133","147,296","156,386","203,876","248,998","202,303","165,179","148,036","103,125","91,768"
1999,"73,891","71,390","108,260","144,734","173,504","192,534","273,025","199,534","145,026","127,397","105,035","96,653"
1998,"73,200","80,094","130,411","150,654","207,603","261,467","338,644","301,624","207,551","175,840","108,956","77,948"
1997,"69,655","68,587","126,527","167,464","221,359","259,545","263,199","305,330","166,438","161,811","105,556","82,187"
1996,"60,604","81,088","118,192","152,497","196,004","223,459","296,946","266,166","163,971","153,594","106,298","78,010"
1995,"90,393","82,856","138,473","182,025","167,693","220,684","366,220","240,125","163,981","151,591","90,445","41,223"
1994,"60,231","74,208","123,510","142,738","189,280","271,733","324,676","285,552","172,591","162,778","99,549","103,089"
1993,"95,423","94,486","161,633","192,885","227,802","325,410","385,616","339,535","201,691","172,532","95,021","104,200"
1992,"88,092","73,896","156,955","201,470","188,841","376,827","380,233","356,196","190,564","168,161","104,562","107,061"
1991,"57,212","72,510","119,232","165,385","228,195","253,175","376,291","338,563","182,265","165,597","104,418","95,352"
1990,"80,526","53,194","97,443","126,450","144,859","241,100","379,886","294,895","155,965","182,916","99,123","68,181"
1989,"67,506","56,369","115,784","129,081","123,912","205,212","296,418","260,555","155,002","138,077","85,527","39,397"
1988,"65,985","57,006","115,062","105,165","142,990","252,776","298,364","253,809","147,642","134,400","84,393","78,018"
1987,"57,591","64,467","104,514","129,291","146,033","196,314","302,438","217,902","144,598","147,219","76,845","49,128"
1986,"62,196","42,939","108,708","118,365","159,901","212,375","262,542","252,381","139,436","119,931","99,526","68,373"
1985,"41,633","51,759","88,062","133,719","140,294","206,132","250,764","238,619","131,645","90,999","68,160","66,153"
1984,"52,446","59,125","72,855","104,160","138,747","197,463","269,086","219,009","153,215","95,706","70,398","69,240"
1983,"50,820","53,370","80,112","99,828","144,742","190,473","258,128","221,949","145,764","119,409","77,616","56,292"
1982,"42,495","48,234","82,521","105,072","159,901","197,169","264,400","232,287","142,435","117,654","70,275","64,233"
1981,"39,627","46,404","71,544","89,301","141,085","191,135","248,149","217,528","132,009","100,908","67,320","59,307"
1980,"51,540","43,032","65,949","109,110","140,112","202,513","263,763","231,955","136,944","112,689","75,669","62,511"
1979,"22,275","23,508","79,881","111,690","138,046","176,960","225,700","217,416","151,588","91,296","81,924","64,626"

