Name,Textbox3
"National Park of American Samoa
Recreation Visits",Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Visitation%20by%20Month

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2016,374,466,"2,103","1,677","1,855","1,512","1,256","4,107","4,876","2,383","3,589","4,694"
2015,"1,564",992,"1,530","1,130","1,982","1,282","1,272","1,346","1,306",822,213,453
2014,"1,178","1,392","1,480","2,072",917,680,"1,230",582,960,"1,236","1,222","1,004"
2013,"1,231","1,440","1,594","2,026","1,906","1,575","1,600","1,193","2,451",859,"1,136",908
2012,536,380,662,582,304,528,696,624,661,"1,150","2,409","1,908"
2011,272,986,385,292,"1,090",324,742,432,"2,284",763,758,388
2010,141,135,181,276,510,291,183,101,79,217,401,491
2009,281,281,281,281,281,358,308,522,423,0,113,113
2008,259,338,113,202,200,138,"1,125",135,132,275,153,613
2007,674,687,923,619,619,664,619,619,305,219,154,672
2006,59,59,56,146,97,77,45,86,61,313,108,132
2003,0,0,0,0,0,0,0,0,0,0,0,0
2002,169,113,135,168,157,312,164,161,193,90,138,138

