STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,HDSD,HTDD,TAVG,TMAX,TMIN
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2002-05,,0,0,0,0,2,0,35,74,,428,51.2,59.5,42.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2002-06,,44,0,0,0,15,0,40,83,,196,59.9,67.9,52
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2002-07,,106,0,0,0,23,1,47,95,27,27,67.8,76.4,59.3
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2002-10,,7,0,9,0,3,0,26,80,,584,46.4,54,38.8
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2002-11,,0,0,19,2,0,0,13,61,,734,36.8,43.8,29.8
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2002-12,,0,1,28,11,0,0,-1,52,,1088,27.1,34.3,19.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-01,0,0,9,30,28,0,0,-9,42,,1460,15.1,22.5,7.7
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-02,0,0,7,28,18,0,0,-14,50,,1275,19.5,27.2,11.7
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-03,0,0,2,21,7,0,0,-4,55,,945,30,38.9,21.1
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-04,0,0,0,15,2,1,0,17,78,,715,39.1,47.1,31.1
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-05,2,2,0,0,0,5,0,33,83,,432,51.2,58.7,43.6
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-06,57,55,0,0,0,17,0,42,89,,143,62,70.7,53.4
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-07,172,115,0,0,0,26,0,53,87,18,18,68.1,76,60.2
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-08,304,131,0,0,0,28,0,46,86,49,30,68.3,76.3,60.3
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-09,321,17,0,0,0,17,0,45,79,132,83,62.8,70.6,55
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-10,321,0,0,4,0,1,0,29,75,618,486,49.3,56.3,42.3
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-11,,,0,15,0,0,0,20,64,,,40.2,47.9,32.6
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2003-12,,0,0,25,11,0,0,5,55,,1064,30.7,37.8,23.6
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-02,,,2,26,8,0,0,-2,44,,,25.6,35.2,16
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-03,,0,0,27,6,0,0,8,48,,1025,31.9,38.8,25.1
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-04,,1,0,11,0,1,0,24,80,,682,42.3,50.5,34.1
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-05,,2,0,1,0,8,0,32,79,,381,52.8,60.9,44.7
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-06,,27,0,0,0,16,1,42,90,,208,59,67.7,50.3
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-07,,47,0,0,0,19,0,52,83,64,64,64.4,71.3,57.5
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-08,,79,0,0,0,21,0,51,85,100,36,66.4,72.8,59.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-09,,1,0,0,0,9,0,42,75,274,174,58.7,66.6,50.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-10,,0,0,0,0,0,0,33,67,765,491,49.2,55.3,43
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-11,,0,0,18,2,0,0,20,56,1613,848,36.7,43.5,29.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2004-12,,0,1,28,11,0,0,-1,52,2803,1190,26.6,34.6,18.6
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-01,0,0,9,30,23,0,0,-13,52,4232,1429,16.3,24.7,7.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-02,0,0,0,25,16,0,0,1,49,5344,1112,25.3,32.4,18.2
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-03,0,0,0,28,7,0,0,6,52,6336,992,30.6,39.4,21.8
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-04,0,0,0,9,0,0,0,27,67,6991,654,43.2,51,35.4
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-05,0,0,0,1,0,0,0,32,63,7546,555,47.1,53.3,40.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-06,61,61,0,0,0,19,0,42,89,7694,148,62.1,71.3,52.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-07,173,113,0,0,0,26,0,53,88,35,35,67.5,75.8,59.3
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-08,299,125,0,0,0,28,0,54,88,43,8,68.8,76.7,60.8
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-09,330,31,0,0,0,14,0,41,84,154,111,62.3,69.8,54.8
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-10,330,0,0,3,0,2,0,30,72,595,440,49.8,56.2,43.5
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-11,330,0,0,13,0,0,0,21,65,1331,736,40.5,47.7,33.3
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2005-12,330,0,0,26,14,0,0,5,51,2421,1091,27.5,34.9,20.1
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-01,0,0,0,27,13,0,0,4,52,3512,1090,29.8,36.2,23.5
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-02,0,0,3,20,13,0,0,-1,51,4503,991,25.4,32.5,18.2
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-04,,0,0,8,0,0,0,28,68,,605,44.8,53,36.7
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-05,,12,0,0,0,6,0,39,83,,338,54.5,62,46.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-06,,43,0,0,0,16,0,47,82,,109,62.8,69.7,55.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-07,,183,0,0,0,30,0,55,86,0,0,70.9,78.8,62.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-08,,73,0,0,0,22,0,48,89,67,67,65.2,72.8,57.6
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-09,,13,0,0,0,10,0,41,78,236,169,59.8,67.4,52.1
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-10,,0,0,1,0,1,0,31,72,737,500,48.9,55.8,41.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-11,,0,0,8,0,0,0,26,60,1378,641,43.6,49,38.2
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2006-12,,0,0,23,6,0,0,13,57,2371,993,33,40.4,25.5
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-01,0,0,5,26,15,0,0,-8,55,3663,1292,23.3,32,14.6
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-02,0,0,5,27,17,0,0,-3,44,4855,1192,19,28.5,9.6
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-03,0,0,4,24,4,0,0,-6,58,5743,888,31.5,40.8,22.1
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-04,0,0,0,16,3,2,0,24,76,6500,757,39.8,46.1,33.4
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-05,22,22,0,0,0,6,1,35,92,6877,377,53.5,62.4,44.7
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-06,64,42,0,0,0,20,1,43,90,6992,115,62.5,71.6,53.5
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-07,164,100,0,0,0,26,0,49,89,30,30,67.2,75.5,59
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-08,263,99,0,0,0,25,0,49,86,65,34,67.1,75.6,58.6
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-09,299,36,0,0,0,13,0,41,85,223,158,60.9,69.2,52.6
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-10,305,6,0,1,0,4,0,30,79,598,375,53.1,60.7,45.5
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-11,305,0,0,17,2,0,0,17,57,1438,840,37,43.5,30.5
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2007-12,305,0,0,28,18,0,0,6,49,2596,1158,25,32.3,17.8
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2008-02,,0,1,27,11,0,0,-1,51,,946,25.4,33.8,16.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2008-03,,0,0,29,4,0,0,13,50,,1047,30,37.6,22.5
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2008-04,,0,0,7,0,2,0,27,73,,615,44.5,53.1,35.9
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2008-05,,0,0,1,0,2,0,32,73,,387,52.5,61.6,43.4
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,2008-06,,40,0,0,0,19,0,49,87,,104,62.9,71.4,54.3
