STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,PRCP,SNOW,TAVG,TMAX,TMIN,WDMV
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1980-06,,371,0,0,0,0,0,0,0,30,19,51,0,0,0,104,14.25,,0,58,89,0,0,77.4,93.1,61.7,1369.5
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1980-07,,558,5,3,0,0,0,0,0,31,30,60,0,0,0.23,105,12.84,0,0,65,94,0.68,0,83,99.4,66.6,1037.7
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1980-08,,479,4,2,0,0,0,0,0,31,25,51,0,0,0.46,106,12.57,0,0,63,91,0.87,0,80.5,95.9,65,1217.3
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1980-09,,178,5,3,0,0,0,0,0,29,9,42,0,0,0.37,96,8.21,16,16,56,83,0.84,0,70.4,86.3,54.5,839.5
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1980-10,,22,4,4,0,0,0,8,0,16,2,26,0,0,0.38,91,4.69,332,316,44,69,1.1,0,55.5,71.5,39.6,764.3
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1980-11,,0,3,3,0,0,0,17,0,4,0,19,0,0,0.56,77,,976,644,,,0.86,0,43.5,56.2,30.9,
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1980-12,,0,3,2,0,0,0,23,0,0,0,22,0,0,0.14,64,,1746,770,,,0.27,0,39.3,50.4,28.2,
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1981-01,0,0,3,1,0,0,0,30,0,0,0,19,0,0,0.32,59,,2606,860,,,0.36,0,37.3,51.2,23.3,
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1981-02,0,0,2,1,0,0,0,24,0,1,0,19,0,0,0.15,70,,3308,702,,,0.19,0,39.9,53.7,26.2,
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1981-03,0,0,14,4,0,0,0,12,0,2,0,27,0,0,0.37,74,,3871,563,,,1.22,0,46.8,58.6,35.1,1112.3
USC00420336,"ARCHES NATIONAL PARK HQS, UT US",38.6163,-109.6191,1247.5,1981-04,28,28,7,5,0,0,0,1,0,24,0,32,0,0,0.3,89,7.94,4049,178,48,76,1.03,0,60,74.6,45.4,1331.6
