STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,HDSD,HTDD,TAVG,TMAX,TMIN
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2000-07,,394,0,0,0,31,12,61,94,0,0,77.7,87.6,67.8
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2000-08,,305,0,0,0,31,0,60,88,0,0,74.9,84.4,65.3
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2000-09,,256,0,0,0,29,6,45,92,15,15,73.1,83.8,62.3
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2000-10,,61,0,2,0,20,0,29,89,114,99,62.9,72.6,53.1
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2000-11,,0,0,3,0,0,0,27,68,561,447,50.1,59.1,41.1
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2000-12,,0,0,9,0,0,0,22,69,1106,546,47.4,57.4,37.4
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-01,0,0,0,8,1,1,0,18,70,1736,630,44.7,53.8,35.6
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-02,0,0,0,1,0,8,0,32,73,2018,282,54.9,64.1,45.7
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-03,4,4,0,0,0,9,0,35,79,2325,307,55.2,65.2,45.2
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-04,126,123,0,0,0,23,0,40,86,2388,62,67,77.7,56.3
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-05,336,209,0,0,0,31,7,51,99,2391,3,71.6,82.8,60.5
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-06,699,363,0,0,0,30,12,61,94,2391,0,77.1,87.7,66.5
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-07,1087,388,0,0,0,31,11,58,93,0,0,77.5,87.5,67.5
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-08,1382,294,0,0,0,31,1,60,92,0,0,74.5,83.8,65.2
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-09,1569,187,0,0,0,28,3,47,90,11,11,70.9,80.7,61
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-10,1634,65,0,0,0,26,0,41,86,72,61,65.1,75.6,54.6
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-11,1637,3,0,3,0,6,0,16,77,375,303,55,64.1,46
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2001-12,1638,1,0,9,0,2,0,22,71,899,524,48.1,57.6,38.6
USR0000TCHI,"CHISOS BASIN TEXAS, TX US",29.2667,-103.3,1645.9,2002-01,3,3,0,6,1,5,0,22,76,1346,447,50.7,60.2,41.2
