STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1948-07,,,504,14,9,0,0,0,0,0,31,0,70,0,0,1.27,89,0,0,4.31,,0,81.3,86,76.6,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1948-08,,,506,15,10,0,0,0,0,0,31,2,70,0,0,2.16,90,0,0,7.82,,0,81.3,86.6,76.1,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1948-09,,,470,17,14,0,0,0,0,0,30,1,70,0,0,1.99,90,0,0,10.58,,0,80.7,85.2,76.2,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1948-10,,,369,13,10,0,0,0,0,0,31,0,67,0,0,6.02,85,0,0,13.94,,0,76.9,80.7,73.1,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1948-11,,,385,5,1,0,0,0,0,0,30,0,61,0,0,0.35,87,0,0,0.48,,0,77.8,81.2,74.5,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1948-12,,,267,7,3,0,0,0,0,0,29,0,45,0,0,0.15,84,14,14,0.62,,0,73.7,78.9,68.4,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-01,,213,213,3,0,0,0,0,0,0,29,0,41,0,0,0.08,80,40,26,0.14,,0,71,75.5,66.5,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-02,,446,233,5,2,0,0,0,0,0,28,0,57,0,0,0.27,84,40,0,0.48,,0,73.3,78,68.6,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-03,,614,169,7,2,0,0,0,0,0,30,0,50,0,0,2.42,81,57,16,2.72,,0,69.9,76,63.8,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-04,,920,306,9,6,0,0,0,0,0,30,0,56,0,0,2.28,86,57,0,4.41,,0,75.2,80.4,70,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-05,,1307,387,11,7,0,0,0,0,0,31,1,64,0,0,1.84,90,57,0,5.03,,0,77.5,82.6,72.3,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-06,,1742,435,16,11,0,0,0,0,0,30,0,67,0,0,1.04,87,57,0,6.9,,0,79.5,85.1,73.9,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-07,,2246,504,17,10,0,0,0,0,0,31,2,71,0,0,1.08,90,0,0,5.09,,0,81.3,86.2,76.3,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-08,,2755,509,16,11,0,0,0,0,0,31,2,71,0,0,1.53,90,0,0,5.37,,0,81.4,86.1,76.7,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-09,,3239,484,17,13,0,0,0,0,0,30,2,69,0,0,2.9,90,0,0,10.74,,0,81.1,86.2,76.1,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-10,,3662,422,16,10,0,0,0,0,0,31,0,69,0,0,2.77,86,0,0,7.58,,0,78.6,83,74.2,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-11,,3803,142,6,2,0,0,0,0,0,28,0,47,0,0,0.59,85,30,30,0.82,,0,68.7,75.9,61.6,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1949-12,,3986,183,16,7,0,0,0,0,0,31,0,55,0,0,0.71,79,32,2,3.58,,0,70.8,75.7,66,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-01,,250,250,6,1,0,0,0,0,0,31,0,65,0,0,0.48,78,32,0,0.55,,0,73.1,76,70.1,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-02,,391,140,4,2,0,0,0,0,0,27,0,47,0,0,0.75,82,50,18,1.37,,0,69.3,75.2,63.5,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-03,,585,195,4,2,0,0,0,0,0,28,0,45,0,0,0.26,86,77,26,0.5,,0,70.4,76.3,64.5,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-04,,760,175,5,2,0,0,0,0,0,27,0,44,0,0,1.94,82,105,28,2.19,,0,69.9,75.6,64.2,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-05,,1130,370,8,4,0,0,0,0,0,31,0,63,0,0,0.61,86,105,0,1.38,,0,76.9,81.4,72.5,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-06,,1637,507,6,3,0,0,0,0,0,30,0,71,0,0,1.33,89,105,0,2.28,,0,81.9,85.8,78,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-07,,2101,465,17,8,0,0,0,0,0,31,1,66,0,0,1.21,90,0,0,5.22,,0,80,84.8,75.2,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-08,,2579,478,14,8,0,0,0,0,0,31,0,66,0,0,5.17,89,0,0,9.74,,0,80.4,85.5,75.3,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-09,,3038,459,19,10,0,0,0,0,0,30,0,70,0,0,0.67,89,0,0,4,,0,80.3,85.4,75.1,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-10,,3438,400,18,14,0,0,0,0,0,31,0,65,0,0,4.04,88,0,0,15.29,,0,77.9,82.5,73.3,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-11,,3615,177,11,5,0,0,0,0,0,26,0,38,0,0,0.6,82,63,63,1.68,,0,68.8,75.4,62.2,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1950-12,,3693,78,7,6,0,0,0,0,0,24,0,40,0,0,0.47,78,132,69,1.46,,0,65.3,72.3,58.3,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1951-01,,106,106,4,1,0,0,0,0,0,24,0,36,0,0,0.18,77,218,86,0.24,,0,65.6,72,59.3,,,,,
USW00012859,"MIAMI WEATHER SERVICE OFFICE CITY, FL US",25.71667,-80.28333,4.6,1951-02,,189,83,6,4,0,0,0,0,0,21,0,36,0,0,0.79,80,294,76,2.12,,0,65.3,71,59.5,,,,,
