STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2003-10,,,6,3,0,0,,,0,12,0,,0,0,0.41,76,,,0.98,0,,65.5,
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-01,0,0,7,3,30,4,4,30,10,0,0,-8,33,10,1.02,43,,1303,1.8,22.2,21.6,33.1,10.1
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-02,0,0,13,7,28,7,4,29,11,0,0,-6,37,7,0.5,51,,1167,2.62,29,24.8,37.1,12.4
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-03,0,0,8,2,26,4,0,22,1,0,0,15,36,2.2,0.18,69,,738,0.56,6.7,40.4,53.9,26.9
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-04,0,0,11,5,,4,0,17,0,0,0,21,,5.3,0.87,69,,550,2.96,15.5,43.9,57,30.9
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-05,0,0,6,4,1,0,0,6,0,15,0,23,1,0.3,0.25,77,,322,0.79,0.3,53.2,67.2,39.2
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-06,,,5,1,0,0,,,0,23,1,,0,0,0.13,92,,,0.43,0,,79.8,
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-07,,91,8,0,0,0,0,0,0,29,4,40,0,0,0.09,92,28,28,0.51,0,67.2,84.1,50.2
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-08,,42,7,3,0,0,0,0,0,27,1,39,0,0,0.33,90,64,36,1.06,0,65.2,82.5,48
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-09,,1,11,7,0,1,0,5,0,18,0,28,0,2,0.67,83,373,309,3.31,2,54.7,69,40.5
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-10,,0,9,6,4,2,0,16,0,0,0,18,6,6.2,0.59,68,966,592,1.99,7.2,43.8,57,30.6
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-11,,0,9,4,20,4,1,28,4,0,0,0,17,6,0.4,65,1885,919,2.32,25.6,32.2,44.4,20
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2004-12,,0,9,2,30,4,8,30,8,0,0,-4,15,2.1,0.14,55,3100,1215,0.69,8.7,24.5,38.2,10.8
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2005-01,0,0,11,6,28,5,0,29,4,0,0,3,22,4.7,0.57,52,4169,1069,2,17.8,28.2,40.5,15.8
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2005-02,0,0,10,7,25,6,0,27,0,0,0,4,26,2.8,0.23,46,5163,994,1.21,11.1,28.2,40.6,15.7
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2005-03,0,0,8,7,31,3,1,31,0,0,0,0,24,4.9,0.79,58,6177,1014,2.19,13.9,32.3,46.1,18.5
USC00050754,"BLACK CANYON OF THE GUNNISON, CO US",38.5547,-107.6872,2484.4,2005-04,0,0,7,7,18,3,0,23,0,0,0,9,22,2.7,0.41,68,6866,689,1.66,6.9,40.4,55.4,25.4
