STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-01,0,0,3,1,31,2,9,30,8,0,0,-26,6,2.5,0.22,48,4596,1366,0.27,4,19.6,35,4.2
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-02,0,0,6,4,12,4,2,27,3,0,0,-8,6,6,0.3,57,5517,920,0.77,12.3,32.1,45.1,19.1
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-03,0,0,7,3,7,5,2,30,5,0,0,-5,22,18,0.98,56,6621,1104,1.41,26.3,28.3,42.2,14.5
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-04,0,0,7,3,2,2,0,27,1,0,0,6,5,5,0.75,63,7433,812,1.5,6,36.4,49.9,22.9
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-05,0,0,0,0,0,0,0,19,0,12,0,20,0,0,0,76,7899,466,0,0,49.9,67.6,32.3
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-06,0,0,7,1,0,0,0,8,0,17,0,25,0,0,0.12,81,8213,313,0.31,0,54.4,71.4,37.3
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-07,37,37,5,1,0,0,0,0,0,31,0,37,0,0,0.55,88,38,38,0.63,0,64.9,82.2,47.6
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-08,37,0,21,16,0,0,0,0,0,24,0,39,0,0,1.42,83,182,143,7.69,0,60.1,73.7,46.4
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-09,37,0,8,3,0,0,0,5,0,19,0,29,0,0,3.15,79,488,306,3.89,0,54.8,71.5,38.1
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-10,37,0,4,1,0,0,0,18,0,5,0,23,0,0,0.2,78,1032,543,0.27,0,47.5,63.4,31.5
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-11,37,0,4,3,4,2,0,29,0,0,0,3,5,6,0.42,58,2015,984,0.85,8,32.2,45.9,18.5
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1963-12,37,0,2,0,10,2,3,31,8,0,0,-7,3,3,0.09,51,3277,1262,0.14,4.5,24.3,39.6,9
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1964-01,0,0,4,1,13,3,10,31,13,0,0,-14,11,11,0.75,53,4696,1419,0.87,16,19.2,34,4.4
USC00421008,"BRYCE CANYON NATIONAL PARK HQRS, UT US",37.64051,-112.1701,2412.5,1964-02,0,0,0,0,29,0,7,29,15,0,0,-10,5,0.3,0,50,6014,1318,0,0.5,19.6,33.9,5.3
