STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-01,,,2,1,0,0,,,,,,,0,0.5,0.17,,,,0.19,0.5,,,
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-02,,0,3,3,1,1,0,26,0,0,0,10,1,3,0.14,64,,836,0.4,3.5,34.1,47.4,20.9
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-03,,0,7,4,,3,0,23,2,0,0,10,,5,0.51,69,,669,1.8,10,42,55,29
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-04,,0,5,5,0,2,0,16,0,5,0,12,0,8,0.44,76,,540,1.11,9.5,46.5,60.5,32.5
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-05,,5,8,3,0,0,0,1,0,19,0,32,0,0,0.36,88,,249,0.78,0,56.6,71.7,41.6
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-06,,116,6,1,0,0,0,0,0,25,11,36,0,0,0.13,94,,54,0.3,0,67.3,84.8,49.7
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-07,,390,6,4,0,0,0,0,0,29,23,50,0,0,0.6,102,0,0,1.56,0,78.5,94.1,62.8
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-08,,,1,0,0,0,,,,,,,0,0,0.07,,,,0.07,0,,,
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-09,,86,6,1,0,0,0,0,0,30,4,33,0,0,0.18,94,,61,0.3,0,65.8,83.3,48.4
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-10,,5,4,2,2,1,0,14,0,18,0,19,3,2.5,0.25,87,,371,0.46,2.5,52.4,70.8,34
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-11,,0,7,3,0,2,0,28,0,2,0,9,0,1,0.15,73,,819,0.59,2.3,37.7,52.3,23.1
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1975-12,,0,3,2,13,2,0,30,1,0,0,4,4,6,0.6,53,,1058,1.01,11,28.6,41.6,15.5
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1976-01,0,0,4,2,30,2,3,31,9,0,0,-11,6,2,0.2,50,,1305,0.35,3.5,22.9,37.5,8.3
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1976-02,0,0,8,3,0,0,0,22,0,0,0,10,0,0,0.45,68,,764,0.92,0,38.6,51.9,25.4
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1976-03,0,0,2,1,1,1,0,26,0,2,0,16,3,2.5,0.19,70,,777,0.48,2.5,39.1,53.4,24.8
USC00421168,"CANYONLANDS THE NEEDLES, UT US",38.1678,-109.7597,1495.3,1976-04,0,0,5,1,0,0,0,6,0,14,0,22,0,0,0.1,77,,405,0.19,0,51.5,66.3,36.7
