STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1967-03,,0,2,0,0,1,0,11,0,2,0,20,0,1,0.04,72,,532,0.07,1,47.8,61.9,33.8
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1967-04,,0,1,0,0,0,0,7,0,2,0,23,0,0,0.05,72,,506,0.05,0,48.1,61.4,34.8
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1967-05,,34,7,5,0,0,0,1,0,18,2,30,0,0,0.52,91,,219,1.58,0,59,74,44.1
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1967-06,,122,5,2,0,0,0,0,0,27,7,43,0,0,0.22,96,,57,0.54,0,67.2,80.8,53.6
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1967-07,,410,11,3,0,0,0,0,0,31,24,55,0,0,0.4,100,0,0,1.05,0,78.2,92,64.5
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1967-08,,381,8,2,0,0,0,0,0,31,21,57,0,0,0.6,96,0,0,0.84,0,77.3,90.8,63.8
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1967-09,,115,8,2,0,0,0,0,0,29,3,45,0,0,0.9,93,14,14,1.28,0,68.5,82.1,54.9
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1967-10,,9,1,0,0,0,0,1,0,26,0,31,0,0,0.02,82,196,182,0.02,0,59.4,74.3,44.6
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1967-11,,0,3,1,0,1,0,10,0,1,0,20,0,2,0.24,73,755,559,0.27,2,46.4,57.4,35.3
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1967-12,,0,,,,,0,31,11,0,0,1,,,,58,1996,1241,,,25,35.5,14.4
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1968-01,0,0,2,0,28,1,0,31,14,0,0,1,6,1,0.01,50,3257,1261,0.02,1,24.3,35.1,13.5
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1968-02,0,0,3,0,0,0,0,20,0,0,0,17,0,0,0.08,62,3973,716,0.1,0,40.3,50.7,29.9
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1968-03,0,0,1,1,0,1,0,11,0,3,0,25,0,2.5,0.13,73,4556,583,0.13,2.5,46.2,58.4,33.9
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1968-04,0,0,6,3,1,1,0,9,0,6,0,25,6,6,0.38,76,5060,504,0.73,6,48.2,60.7,35.7
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1968-05,39,39,6,2,0,0,0,2,0,24,0,28,0,0,0.34,89,5237,177,0.57,0,60.5,74.9,46.2
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1968-06,316,277,2,1,0,0,0,0,0,28,18,41,0,0,0.11,99,5269,32,0.15,0,73.2,89,57.4
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1968-07,668,352,6,4,0,0,0,0,0,31,16,44,0,0,0.76,97,0,0,1.49,0,76.4,90.1,62.6
USC00421171,"CAPITOL REEF NATIONAL PARK, UT US",38.2917,-111.2622,1676.4,1968-08,843,175,8,5,0,0,0,0,0,31,0,44,0,0,0.18,89,7,7,0.78,0,70.4,83.4,57.4
