STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,HDSD,HTDD,TAVG,TMAX,TMIN
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1990-08,,13,0,0,0,11,0,49,86,,153,60.5,69,52
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1990-09,,37,0,0,0,16,0,48,88,,113,62.5,72.1,52.9
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1990-10,,64,0,0,0,17,0,48,86,,117,63.3,72.6,54
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1990-11,,37,0,0,0,10,0,40,85,,238,58.3,66.7,49.9
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1990-12,,7,0,4,0,7,0,26,77,,435,51.2,58.7,43.7
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-01,0,0,0,0,0,2,0,38,71,,449,50.5,57.5,43.5
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-02,1,1,0,0,0,11,0,42,75,,261,55.7,64.4,47.1
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-03,1,0,0,0,0,0,0,35,63,,583,46.2,52,40.4
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-04,1,0,0,0,0,3,0,37,77,,413,51.2,58.6,43.8
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-05,1,0,0,0,0,1,0,39,80,,472,49.8,57.6,42
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-06,1,0,0,0,0,2,0,41,76,,349,53.3,61.6,45.1
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-07,6,4,0,0,0,10,0,48,80,191,191,59,67.6,50.3
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-08,16,10,0,0,0,16,0,47,81,323,131,61.1,70.5,51.7
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-09,76,60,0,0,0,21,1,47,90,398,75,64.5,74.8,54.2
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-10,236,159,0,2,0,20,4,29,97,530,132,65.9,75.3,56.7
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-11,236,0,0,18,0,22,2,23,92,852,322,54.3,76.4,32.1
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1991-12,236,0,0,22,0,15,0,18,81,1353,501,48.8,67.9,29.7
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-01,0,0,0,23,0,18,0,18,83,1819,466,50,69.9,30
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-02,0,0,0,9,0,12,0,26,86,2160,341,53.2,69,37.4
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-03,0,0,0,4,0,6,0,31,77,2549,389,52.4,66.3,38.6
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-04,0,0,0,1,0,28,0,30,87,2750,200,58.3,76.6,40.1
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-05,2,2,0,0,0,26,0,35,79,2924,174,59.4,73.1,45.8
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-06,9,6,0,0,0,28,0,37,84,3048,123,61.1,75.3,46.9
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-07,78,69,0,0,0,29,3,39,96,55,55,65.6,81.3,49.8
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-08,133,55,0,0,0,31,2,37,92,107,53,65.1,82.9,47.2
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-09,147,14,0,0,0,30,3,35,97,196,88,62.5,81.8,43.2
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-10,153,6,0,2,0,26,1,32,94,426,230,57.8,75.1,40.5
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-11,162,9,0,18,0,22,0,23,88,792,366,52.6,73,32.3
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1992-12,162,0,0,21,0,3,0,17,73,1407,615,44.7,60.8,28.5
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-01,0,0,0,15,0,4,0,18,78,1928,521,48.2,60.7,35.7
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-02,0,0,0,17,0,1,0,25,70,2417,489,47.6,61.4,33.7
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-04,,0,0,7,0,22,0,28,80,,249,56.1,73.2,39
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-05,,0,0,3,0,23,0,28,89,,259,56.7,72.7,40.6
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-06,,3,0,0,0,28,0,34,87,,151,60.1,76.7,43.4
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-07,,9,0,0,0,29,0,38,84,138,138,60.9,74.6,47.1
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-08,,7,0,0,0,31,0,39,86,205,66,63.1,78.5,47.6
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-09,,10,0,3,0,30,3,31,99,349,144,60.5,80.2,40.9
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-10,,5,0,5,0,30,2,28,95,549,200,58.5,78.8,38.1
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-11,,0,0,20,0,22,1,23,91,930,381,52.3,72.7,31.9
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1993-12,,0,0,26,0,13,0,21,82,1435,505,48.2,68.4,27.9
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1994-01,0,0,0,28,0,17,0,19,86,1921,486,48.3,70.8,25.8
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1994-02,0,0,0,16,0,6,0,20,76,2377,456,48.7,64.6,32.9
USR0000CSCI,"SANTA CRUZ ISLAND CALIFORNIA, CA US",33.9958,-119.7222,76.2,1994-03,0,0,0,15,0,13,0,28,87,2772,395,52.2,69.5,35
