STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DP01,DP10,DSNW,EMSN,EMXP,PRCP,SNOW
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2009-04,4,4,0,0,1,2,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2009-05,,,,,,3.96,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2009-08,8,6,,,1.5,3.2,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2009-09,5,2,0,0,0.27,0.55,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2009-10,5,4,,,2.46,4.84,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2009-11,10,3,,,2.75,5.27,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2009-12,16,9,,,1.67,8.44,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-01,8,6,,,1.81,3.69,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-02,5,4,,,0.35,1.17,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-03,10,5,,,0.98,2.78,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-04,2,2,0,0,1.01,1.94,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-05,7,4,,,0.9,2.19,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-06,11,6,,,2.58,8.06,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-07,7,6,,,1.87,4.65,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-08,13,6,,,1.67,5.31,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-09,4,3,,,0.94,2.92,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-10,3,3,0,0,1.45,1.91,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-11,4,3,,,0.46,0.95,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2010-12,10,4,,,0.52,1.5,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2011-01,7,6,,,0.32,1.3,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2011-02,8,4,,,1.96,3.69,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2011-03,13,8,,,1.34,4.87,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2011-04,9,8,,,0.95,3.98,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2011-06,9,6,,,1.42,3.62,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2011-08,8,5,,,2.13,6.4,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2011-09,12,8,,,2.83,7.05,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2011-10,8,5,,,1.09,2.56,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2011-11,6,4,,,1.09,1.98,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2011-12,9,5,,,0.54,1.17,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2012-01,11,4,,,1.08,2.18,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2012-03,12,6,,,1.83,4.22,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2012-04,8,4,,,1.18,2.25,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2012-06,9,7,,,1.68,3.87,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2012-08,14,12,,,2.79,9.37,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2012-09,8,4,,,0.83,1.93,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2012-10,6,3,,,0.33,1,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2012-11,4,2,0,0,1.06,1.28,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2012-12,10,7,,,0.75,3.18,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2013-01,6,4,,,0.62,1.44,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2013-02,10,8,,,2.19,6.1,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2013-03,8,6,,,1.7,3.78,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2013-05,5,1,,,1.23,3.74,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2013-06,13,10,,,1.49,5.05,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2013-08,11,8,,,1.58,5.13,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2013-09,7,6,0,0,1.21,2.63,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2013-10,4,2,0,0,0.26,0.55,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2013-11,5,3,0,0,1.21,2.26,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2013-12,11,7,,,2.5,6.19,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-01,11,7,,,1.07,3.08,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-02,7,6,,,0.47,3.1,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-03,12,6,,,1.9,4.36,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-04,8,5,,,1.61,2.97,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-05,13,9,,,2.11,8.08,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-06,10,5,,,0.93,2.58,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-07,10,4,,,1.46,4.18,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-08,8,5,,,1.8,2.82,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-09,15,5,,,1.61,4.54,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-10,4,3,0,0,1.12,2.35,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-11,9,6,,,1.85,3.93,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2014-12,12,6,,,2.45,4.07,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-01,11,5,,,1.41,3.7,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-02,10,7,,,1.76,4.94,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-03,10,5,,,0.74,2.52,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-04,14,9,,,0.94,3.35,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-05,7,3,,,0.38,0.84,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-06,6,4,,,1.42,2.52,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-07,12,8,,,0.94,4.21,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-08,9,6,,,2.45,6.43,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-09,10,7,,,2.9,7.36,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-10,13,9,,,12.07,18.47,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-11,13,7,,,1.95,5.13,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2015-12,12,8,,,1.64,4.32,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-01,11,6,,,0.72,2.27,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2016-02,8,5,,,1.96,3.85,
